20_01_04_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,,,,,,a lot excess green,
0:01:00,,,,,,,,blurry,
0:02:00,,,,,,,,,
0:03:00,,,,,,,,,
0:04:00,,,,,,,,,
0:05:00,,,,,,,,,
0:06:00,,,,,,,,,
0:07:00,,,,,,,,,
0:08:00,,,,,,,,,
0:09:00,,,,,,,,,
0:10:00,,,,,,,,,
0:11:00,,,,,,,,,
0:12:00,,,,,,,,,
0:13:00,,,,,,,,,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,,,,,,,
0:18:00,,,,,,,,,
0:19:00,,,,,,,,,
0:20:00,,,,,,,,,
0:21:00,,,,,,,,,
0:22:00,,,,,,,,,
0:23:00,,,,,,,,,
0:24:00,,,,,,,,,
0:25:00,,,,,,,,,
0:26:00,,,,,,,,,
0:27:00,,,,,,,,,
0:28:00,,,,,,,,,
0:29:00,,,,,,,,,
0:30:00,,,,,,,,,
0:31:00,,,,,,,,,
0:32:00,,,,,,,,,
0:33:00,,,,,,,,,
0:34:00,,,,,,,,,
0:35:00,,,,,,,,,
0:36:00,,,,,,,,,
0:37:00,,,,,,,,,
0:38:00,,,,,,,,,
0:39:00,,,,,,,,,
0:40:00,,,,,,,,,
0:41:00,,,,,,,,,
0:42:00,,,,,,,,,
0:43:00,,,,,,,,,
0:44:00,,,,,,,,,
0:45:00,,,,,,,,,
0:46:00,,,,,,,,,
0:47:00,,,,,,,,,
0:48:00,,,,,,,,,
0:49:00,,,,,,,,,
0:50:00,,,,,,,,,
0:51:00,,,,,,,kinkajou entering left edge of r2,,
0:52:00,,, ,,,,big jump 00:52:31,,
0:53:00,,,1,,,,,,
0:54:00,,,1,,,,,,
0:55:00,,,,,1,,,,
0:56:00,,,1,,,,,,
0:57:00,,,1,,,,,,
0:58:00,,,1,,,,,,
0:59:00,,,1,,,,,,
1:00:00,,,1,,,,,,
1:01:00,,,1,,,,,,
1:02:00,,,1,,,,,,
1:03:00,,,1,,,,,,
1:04:00,,,1,,,,,,
1:05:00,,,1,,,,,,
1:06:00,,,1,,,,,,
1:07:00,,,1,,,,,,
1:08:00,,,,,1,1,,,
1:09:00,,,,,1,,,,
1:10:00,,,,,1,,,,
1:11:00,,,,,1,,,,
1:12:00,,,,,1,,,,
1:13:00,,,,,1,,,,
1:14:00,,,,,1,,juming down 1:14:30,,
1:15:00,,,,,,,,,
1:16:00,,,,,,,,,
1:17:00,,,,,,,,,
1:18:00,,,,,1,,entering over main trunk,,
1:19:00,,,,,1,,,,
1:20:00,,,,,1,,,,
1:21:00,,,,,1,,,,
1:22:00,,,,,1,,,,
1:23:00,,,,,1,,,,
1:24:00,,,1,,,,,,
1:25:00,1,,,,,,maybe r3 but enters r2 over connection to r1,,
1:26:00,1,,,,,,,,
1:27:00,1,,,,,,,,
1:28:00,,,1,,,,,,
1:29:00,,,1,,,,leaves tree 1:29:16 ,,
1:30:00,,,,,,,,,
1:31:00,,,,,,,,,
1:32:00,,,,,,,,,
1:33:00,,,,,,,,,
1:34:00,,,,,,,,,
1:35:00,,,,,,,,,
1:36:00,,,,,,,,,
1:37:00,,,,,,,,,
1:38:00,,,,,,,,,
1:39:00,,,,,,,,,
1:40:00,,,,,1,,kinkajou entering tree same way as the one before,,
1:41:00,,,,,,,,,
1:42:00,,,,,,,,,
1:43:00,,,,,,,,,
1:44:00,,,,,1,,jump down 1:44:26,,
1:45:00,,,,,,,,,
1:46:00,,,,,,,,,
1:47:00,,,1,,,,,,
1:48:00,,,1,,,,,,
1:49:00,1,,,,,,,no video 1:49:32,
1:50:00,,,,,,,,,
1:51:00,,,,,,,,,
1:52:00,,,,,,,,,
1:53:00,,,,,,,,,
1:54:00,,,,,,,,,
1:55:00,,,,,,,,,
1:56:00,,,,,,,,,
1:57:00,,,,,,,,,
1:58:00,,,,,,,,,
1:59:00,,,,,,,,,
2:00:00,,,,,,,,,
2:01:00,1,,,,,,,video back 2:01:02,
2:02:00,2,,,,,,"2nd entering from left r1, seems to just cross tree. Leaves at back of r2","very bright, blurry",
2:03:00,1,,,,,,,,
2:04:00,1,,,,,,kinkajou stationary over a minute,,
